
C:\Users\Nischal>netstat -aon

Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    192.168.2.10:53093     184.150.164.209:443    ESTABLISHED     13748
  TCP    192.168.2.10:53094     35.183.146.231:443     ESTABLISHED     13748
  TCP    192.168.2.10:53095     34.215.77.45:443       ESTABLISHED     13748
  TCP    192.168.2.10:61677     104.16.59.37:443       ESTABLISHED     12736
  TCP    192.168.2.10:61698     205.196.6.67:443       ESTABLISHED     10428
  TCP    192.168.2.10:61755     172.217.13.202:443     CLOSE_WAIT      11572
  TCP    192.168.2.10:61768     8.36.113.137:443       ESTABLISHED     8928
  TCP    192.168.2.10:61827     184.26.179.51:443      CLOSE_WAIT      9612
  TCP    192.168.2.10:61829     184.26.179.51:443      CLOSE_WAIT      9612
  TCP    192.168.2.10:61830     184.26.179.51:443      CLOSE_WAIT      9612
  TCP    192.168.2.10:61831     184.26.179.51:443      CLOSE_WAIT      9612
  TCP    192.168.2.10:61832     184.26.179.51:443      CLOSE_WAIT      9612
  TCP    192.168.2.10:61833     184.26.179.51:443      CLOSE_WAIT      9612
  TCP    192.168.2.10:61835     184.26.179.136:80      CLOSE_WAIT      9612
  TCP    192.168.2.10:61836     184.26.179.136:80      CLOSE_WAIT      9612
  TCP    192.168.2.10:61837     184.26.179.136:80      CLOSE_WAIT      9612
  TCP    192.168.2.10:61838     184.26.179.136:80      CLOSE_WAIT      9612
  TCP    192.168.2.10:61839     184.26.179.136:80      CLOSE_WAIT      9612
  TCP    192.168.2.10:61840     184.26.179.136:80      CLOSE_WAIT      9612
  TCP    192.168.2.10:61894     209.85.201.188:5228    ESTABLISHED     13748
  TCP    192.168.2.10:63983     31.13.71.1:443         ESTABLISHED     13748
  TCP    192.168.2.10:65181     173.194.205.125:5222   ESTABLISHED     11572
  TCP    192.168.2.10:65369     40.67.248.104:443      ESTABLISHED     3752
  TCP    192.168.2.10:65528     209.135.140.199:80     CLOSE_WAIT      7216
  TCP    192.168.2.10:65529     209.135.140.199:80     CLOSE_WAIT      7216
  TCP    [::]:135               [::]:0                 LISTENING       1172
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:7680              [::]:0                 LISTENING       10136
  TCP    [::]:49664             [::]:0                 LISTENING       900
  TCP    [::]:49665             [::]:0                 LISTENING       1612
  TCP    [::]:49666             [::]:0                 LISTENING       2064
  TCP    [::]:49667             [::]:0                 LISTENING       3396
  TCP    [::]:49676             [::]:0                 LISTENING       976
  TCP    [::]:49679             [::]:0                 LISTENING       992
  UDP    0.0.0.0:123            *:*                                    3952
  UDP    0.0.0.0:500            *:*                                    3800
  UDP    0.0.0.0:4500           *:*                                    3800
  UDP    0.0.0.0:5050           *:*                                    692
  UDP    0.0.0.0:5353           *:*                                    2520
  UDP    0.0.0.0:5353           *:*                                    13748
  UDP    0.0.0.0:5353           *:*                                    13748
  UDP    0.0.0.0:5355           *:*                                    2520
  UDP    0.0.0.0:27036          *:*                                    10428
  UDP    0.0.0.0:50169          *:*                                    4088
  UDP    0.0.0.0:51753          *:*                                    10144
  UDP    0.0.0.0:51866          *:*                                    13748
  UDP    0.0.0.0:53110          *:*                                    3824
  UDP    0.0.0.0:54027          *:*                                    13748
  UDP    0.0.0.0:54028          *:*                                    13748
  UDP    0.0.0.0:54029          *:*                                    13748
  UDP    127.0.0.1:1900         *:*                                    5412
  UDP    127.0.0.1:48401        *:*                                    2564
  UDP    127.0.0.1:50167        *:*                                    8928
  UDP    127.0.0.1:50168        *:*                                    2564
  UDP    127.0.0.1:50171        *:*                                    4404
  UDP    127.0.0.1:51879        *:*                                    10732
  UDP    127.0.0.1:55770        *:*                                    6976
  UDP    127.0.0.1:56871        *:*                                    2564
  UDP    127.0.0.1:56872        *:*                                    12600
  UDP    127.0.0.1:60992        *:*                                    2564
  UDP    127.0.0.1:60993        *:*                                    2564
  UDP    127.0.0.1:60994        *:*                                    2564
  UDP    127.0.0.1:64825        *:*                                    3824
  UDP    127.0.0.1:64826        *:*                                    3824
  UDP    127.0.0.1:64827        *:*                                    3824
  UDP    127.0.0.1:64973        *:*                                    5412
  UDP    127.0.0.1:65000        *:*                                    3824
  UDP    192.168.2.10:137       *:*                                    4
  UDP    192.168.2.10:138       *:*                                    4
  UDP    192.168.2.10:1900      *:*                                    5412
  UDP    192.168.2.10:2177      *:*                                    8744
  UDP    192.168.2.10:5353      *:*                                    3824
  UDP    192.168.2.10:5353      *:*                                    4088
  UDP    192.168.2.10:64972     *:*                                    5412
  UDP    [::]:123               *:*                                    3952
  UDP    [::]:500               *:*                                    3800
  UDP    [::]:4500              *:*                                    3800
  UDP    [::]:5353              *:*                                    13748
  UDP    [::]:5353              *:*                                    2520
  UDP    [::]:5355              *:*                                    2520
  UDP    [::]:27036             *:*                                    10428
  UDP    [::]:50170             *:*                                    4088
  UDP    [::]:51753             *:*                                    10144
  UDP    [::]:53111             *:*                                    3824
  UDP    [::1]:1900             *:*                                    5412
  UDP    [::1]:5353             *:*                                    4088
  UDP    [::1]:5353             *:*                                    3824
  UDP    [::1]:64971            *:*                                    5412
  UDP    [fe80::4905:6e09:588e:fd00%7]:1900  *:*                                    5412
  UDP    [fe80::4905:6e09:588e:fd00%7]:2177  *:*                                    8744
  UDP    [fe80::4905:6e09:588e:fd00%7]:64970  *:*                                    5412
